X,Y,Z,__index,__rangexy,return_idx,num_returns,reflectance,elongation,Normal change rate (1),Number of neighbors (r=1),Surface density (r=1),Eigenentropy (1),Anisotropy (1),Planarity (1),Linearity (1),Surface variation (1),Sphericity (1),Verticality (1),3rd eigenvalue (1),Noise
3.28600001,2.67300010,-0.99599999,367.000000,4.236000,0.000000,1.000000,121.000000,9.000000,0.015708,4994.000000,1589.639526,0.586228,0.979923,0.238002,0.741922,0.015708,0.020077,0.049283,0.005913,1.000000
3.41899991,2.66199994,-0.93800002,380.000000,4.333000,0.000000,1.000000,186.000000,12.000000,0.014898,5523.000000,1758.025513,0.605752,0.980495,0.270205,0.710290,0.014898,0.019505,0.053868,0.005912,1.000000
3.59200001,2.68000007,-0.88599998,393.000000,4.482000,0.000000,1.000000,180.000000,11.000000,0.015064,6230.000000,1983.070557,0.642824,0.978934,0.356324,0.622611,0.015064,0.021066,0.057935,0.006407,1.000000
3.10500002,0.58499998,-0.76700002,772.000000,3.160000,0.000000,1.000000,192.000000,12.000000,0.043048,4166.000000,1326.078979,0.513114,0.940538,0.262396,0.678142,0.043048,0.059462,0.017892,0.010351,1.000000
3.25300002,-0.56099999,-0.80199999,991.000000,3.301000,0.000000,1.000000,160.000000,10.000000,0.024182,5490.000000,1747.521240,0.571847,0.968178,0.252296,0.715881,0.024182,0.031822,0.044681,0.007922,1.000000
2.71399999,-1.38000000,-0.67600000,1208.000000,3.045000,0.000000,1.000000,170.000000,11.000000,0.082230,1942.000000,618.157776,0.499530,0.877781,0.241876,0.635905,0.082230,0.122219,0.103762,0.017286,1.000000
2.93700004,-1.71000004,-0.80800003,1248.000000,3.399000,0.000000,1.000000,53.000000,9.000000,0.048332,3414.000000,1086.709961,0.526832,0.936555,0.185795,0.750760,0.048332,0.063445,0.006309,0.012691,1.000000
3.24099994,-2.18499994,-0.89499998,1299.000000,3.909000,0.000000,1.000000,115.000000,7.000000,0.018039,4611.000000,1467.726807,0.573267,0.975326,0.318483,0.656843,0.018039,0.024674,0.049769,0.005800,1.000000
3.17499995,-2.29399991,-0.87900001,1326.000000,3.917000,0.000000,1.000000,170.000000,12.000000,0.021930,4217.000000,1342.312744,0.567033,0.970508,0.285799,0.684710,0.021930,0.029492,0.048641,0.006915,1.000000
3.26099992,-2.71900010,-0.91100001,1396.000000,4.246000,0.000000,1.000000,164.000000,14.000000,0.011969,3973.000000,1264.645142,0.577508,0.983800,0.321091,0.662709,0.011969,0.016200,0.058478,0.004051,1.000000
2.95099998,-2.97199988,-0.83499998,1500.000000,4.188000,0.000000,1.000000,238.000000,15.000000,0.033169,2389.000000,760.442322,0.525877,0.956287,0.230459,0.725829,0.033169,0.043713,0.036045,0.008856,1.000000
3.05699992,-3.48900008,-0.97299999,1557.000000,4.638000,0.000000,1.000000,220.000000,15.000000,0.022190,2295.000000,730.521179,0.556685,0.970881,0.254024,0.716856,0.022190,0.029119,0.038798,0.006897,1.000000
